[0, 3, 2, 15, 0, 1, 1, 1, 8, 6, 3, 0, 4, 1, 2, 2, 5, 3, 1, 14, 18, 2, 2, 1, 0, 3, 0, 5, 0, 1, 1, 1, 10, 14, 2, 1, 3, 14, 16, 5, 6, 0, 0, 0, 61, 4, 3, 1, 5, 2, 0, 2, 2, 2, 13, 1, 0, 4, 5, 2, 4, 1, 2, 5, 1, 0, 7, 1, 0, 6, 3, 0, 0, 1, 0, 2, 2, 16, 0, 1, 16, 7, 4, 6, 50, 0, 0, 1, 26, 1, 0, 10, 3, 7, 4, 17, 7, 1, 5, 1, -0.05410985539607963, 2.575000047683716, 3]
[0, 9, 5, 4, 1, 5, 0, 1, 0, 7, 2, 6, 4, 3, 1, 0, 2, 5, 2, 13, 10, 4, 0, 1, 2, 0, 0, 0, 3, 1, 1, 7, 1, 7, 2, 1, 6, 24, 1, 1, 7, 0, 5, 3, 19, 0, 1, 0, 6, 0, 3, 3, 2, 2, 9, 0, 1, 1, 0, 23, 4, 1, 2, 6, 3, 0, 7, 1, 3, 8, 3, 2, 2, 0, 1, 1, 1, 3, 7, 2, 28, 6, 14, 5, 16, 2, 1, 1, 28, 5, 0, 4, 2, 8, 0, 25, 5, 14, 2, 1, 0.0049445721699352685, 3.2360000610351562, 4]
[0, 2, 6, 17, 0, 1, 0, 1, 7, 3, 1, 0, 3, 6, 2, 1, 2, 2, 2, 11, 16, 4, 0, 0, 0, 1, 1, 2, 1, 3, 1, 7, 12, 5, 0, 2, 5, 7, 22, 4, 9, 0, 6, 1, 11, 3, 2, 3, 3, 1, 1, 3, 0, 2, 18, 1, 0, 4, 11, 23, 4, 1, 11, 0, 5, 1, 6, 0, 0, 8, 1, 2, 1, 0, 1, 2, 4, 20, 8, 5, 31, 2, 2, 3, 55, 4, 1, 4, 42, 0, 1, 9, 7, 7, 4, 5, 4, 32, 2, 1, 0.01366028511798728, 21.675000190734863, 31]
[1, 12, 5, 21, 0, 2, 1, 4, 5, 6, 1, 11, 5, 4, 2, 0, 7, 3, 0, 7, 6, 3, 2, 0, 0, 3, 1, 3, 0, 0, 1, 3, 6, 12, 1, 0, 6, 22, 12, 1, 1, 0, 5, 0, 40, 7, 2, 4, 4, 2, 0, 3, 2, 0, 13, 6, 3, 0, 10, 20, 2, 0, 9, 0, 1, 1, 4, 0, 2, 7, 2, 2, 0, 1, 1, 0, 4, 5, 5, 6, 16, 9, 4, 6, 31, 1, 1, 0, 37, 1, 0, 1, 5, 9, 4, 24, 1, 33, 3, 0, 0.01824750076051984, 39.42500019073486, 58]
[0, 2, 0, 9, 1, 2, 2, 2, 5, 3, 3, 9, 4, 6, 2, 3, 1, 14, 0, 1, 17, 1, 1, 0, 0, 2, 1, 2, 0, 1, 0, 5, 18, 12, 2, 3, 2, 8, 32, 6, 9, 2, 3, 4, 41, 5, 1, 0, 5, 2, 1, 2, 0, 0, 2, 5, 3, 2, 13, 22, 1, 1, 5, 0, 3, 1, 3, 1, 2, 5, 1, 0, 1, 1, 1, 3, 1, 2, 4, 0, 29, 10, 10, 5, 33, 0, 1, 2, 36, 3, 0, 4, 0, 10, 4, 12, 0, 32, 4, 0, 0.019982245496929153, 179.739000082016, 248]
[1, 15, 2, 30, 1, 2, 0, 1, 2, 3, 0, 2, 1, 0, 1, 2, 1, 5, 2, 6, 12, 1, 0, 0, 2, 3, 1, 5, 3, 0, 0, 8, 10, 1, 2, 3, 0, 25, 7, 6, 2, 3, 5, 3, 71, 7, 2, 0, 1, 2, 0, 0, 1, 2, 6, 2, 1, 5, 15, 1, 4, 0, 11, 7, 3, 1, 7, 0, 2, 6, 0, 2, 1, 1, 1, 5, 2, 6, 8, 0, 26, 4, 10, 0, 24, 0, 1, 1, 12, 2, 0, 2, 0, 14, 4, 5, 3, 17, 3, 1, 0.025927760036467757, 413.2272012233734, 587]
[1, 2, 5, 28, 1, 2, 2, 1, 5, 3, 3, 7, 8, 0, 1, 1, 7, 2, 0, 15, 1, 4, 1, 0, 0, 1, 0, 3, 2, 1, 1, 1, 2, 8, 1, 0, 2, 2, 21, 5, 1, 3, 2, 1, 25, 9, 2, 0, 6, 0, 3, 2, 0, 1, 15, 5, 0, 4, 13, 1, 2, 1, 3, 0, 1, 0, 6, 1, 3, 0, 1, 0, 1, 0, 1, 7, 4, 5, 8, 0, 34, 7, 7, 7, 31, 2, 0, 2, 39, 4, 1, 1, 0, 14, 0, 22, 1, 3, 3, 0, 0.02645931530260648, 705.6648020744324, 986]
[1, 11, 1, 15, 0, 3, 2, 4, 4, 5, 0, 4, 4, 3, 2, 0, 7, 19, 2, 20, 20, 3, 0, 1, 2, 0, 1, 4, 2, 0, 0, 4, 6, 6, 1, 0, 2, 21, 22, 0, 9, 3, 3, 4, 65, 8, 4, 3, 3, 4, 2, 0, 1, 1, 16, 5, 1, 2, 8, 15, 4, 0, 10, 3, 1, 1, 3, 3, 2, 6, 1, 2, 0, 0, 1, 7, 1, 4, 4, 0, 12, 11, 7, 7, 5, 3, 1, 3, 28, 0, 1, 5, 5, 9, 1, 12, 6, 5, 2, 1, 0.03685060583752684, 793.0890021324158, 1104]
[1, 5, 2, 7, 1, 2, 1, 4, 7, 0, 2, 6, 5, 5, 2, 0, 3, 23, 2, 6, 15, 4, 2, 1, 1, 3, 0, 1, 0, 3, 1, 7, 7, 16, 0, 2, 5, 10, 7, 6, 5, 3, 2, 2, 42, 10, 2, 4, 4, 2, 3, 2, 2, 1, 3, 2, 3, 5, 14, 12, 4, 0, 11, 0, 2, 1, 7, 1, 1, 3, 3, 0, 2, 1, 1, 4, 4, 16, 0, 2, 27, 0, 15, 7, 62, 3, 0, 0, 5, 5, 1, 2, 6, 14, 1, 6, 5, 1, 2, 0, 0.06166858473896815, 1498.1054055690765, 2176]
[1, 7, 9, 14, 1, 1, 0, 1, 7, 4, 3, 4, 6, 4, 2, 1, 1, 22, 0, 11, 11, 4, 0, 0, 2, 3, 1, 5, 1, 0, 1, 7, 11, 3, 0, 1, 3, 21, 23, 6, 4, 3, 1, 1, 23, 3, 1, 3, 6, 2, 1, 2, 2, 2, 12, 4, 1, 6, 10, 17, 4, 0, 6, 2, 1, 1, 3, 0, 1, 6, 1, 0, 2, 1, 0, 1, 2, 5, 8, 0, 14, 6, 3, 6, 4, 4, 1, 4, 28, 3, 0, 0, 3, 7, 2, 0, 3, 21, 3, 1, 0.06226577935933967, 90733.86936354637, 139263]
[1, 13, 11, 13, 1, 5, 0, 1, 5, 6, 0, 4, 5, 6, 0, 1, 3, 20, 2, 4, 7, 1, 3, 0, 0, 0, 0, 1, 1, 2, 1, 0, 10, 4, 0, 1, 0, 20, 28, 3, 2, 2, 0, 3, 35, 0, 4, 2, 0, 0, 0, 3, 0, 0, 3, 2, 4, 2, 1, 1, 1, 0, 6, 3, 6, 0, 9, 0, 3, 3, 2, 2, 0, 1, 0, 7, 1, 13, 6, 2, 26, 3, 8, 2, 14, 2, 0, 0, 18, 3, 0, 8, 6, 9, 0, 11, 5, 9, 4, 0, 0.06947379959233205, 163471.03822302818, 252594]
