[4, 0, 1, 1, 5, 6, 1, 8, 2, 5, 0, 5, 0, 0, 3, 13, 2, 7, 2, 3, 2, 5, 19, 1, 4, 2, 4, 9, 5, 0, 0, 0, 1, 0, 6, 1, 0, 10, 0, 0, 20, 6, 5, 9, 0, 5, 0, 4, 79, 3, 3, 0, 1, 3, 0, 11, 5, 2, 1, 2, 1, 2, 1, 1, 2, 4, 0, 0, 2, 3, 2, 3, 1, 3, 7, 3, 0, 1, 4, 0, 0, 1, 1, 0, 1, 2, 7, 0, 1, 1, -0.11657915459973622, 13.053599834442139, 2]
[2, 2, 3, 3, 4, 15, 2, 10, 4, 2, 13, 1, 0, 2, 4, 0, 1, 3, 2, 0, 0, 21, 19, 0, 2, 4, 4, 0, 5, 1, 1, 1, 0, 0, 0, 0, 1, 8, 0, 1, 21, 2, 11, 6, 1, 3, 3, 3, 88, 0, 4, 2, 0, 3, 1, 15, 0, 4, 7, 1, 2, 2, 3, 1, 3, 0, 3, 0, 0, 4, 0, 2, 5, 0, 12, 2, 2, 5, 4, 4, 0, 1, 5, 0, 1, 11, 20, 0, 0, 2, -0.08148446678569714, 21.84439992904663, 4]
[0, 1, 4, 2, 4, 67, 1, 10, 0, 2, 12, 3, 1, 0, 4, 6, 2, 8, 1, 5, 2, 16, 21, 0, 4, 2, 3, 13, 4, 0, 1, 0, 0, 2, 1, 1, 0, 7, 1, 0, 11, 1, 9, 8, 1, 2, 0, 0, 66, 0, 0, 2, 1, 5, 0, 0, 2, 7, 7, 1, 5, 2, 4, 5, 0, 2, 4, 1, 2, 4, 1, 1, 5, 1, 7, 7, 1, 5, 2, 1, 0, 3, 5, 1, 1, 7, 11, 2, 0, 1, -0.0812329610656493, 38.97200012207031, 8]
[8, 0, 5, 0, 1, 7, 2, 2, 1, 5, 2, 1, 0, 1, 4, 11, 1, 11, 0, 1, 2, 24, 8, 2, 3, 4, 8, 4, 5, 1, 0, 0, 1, 1, 3, 1, 1, 2, 0, 1, 17, 1, 11, 8, 1, 2, 3, 1, 48, 4, 4, 1, 1, 6, 0, 85, 4, 2, 2, 1, 0, 1, 0, 6, 3, 0, 2, 1, 0, 3, 2, 1, 1, 0, 11, 7, 0, 1, 3, 3, 1, 0, 4, 0, 0, 8, 6, 1, 1, 4, -0.04987229397735568, 112.4912006855011, 25]
[1, 0, 4, 2, 1, 83, 0, 7, 4, 3, 13, 3, 0, 1, 2, 24, 1, 16, 2, 3, 0, 1, 13, 1, 1, 0, 6, 8, 3, 1, 1, 1, 1, 0, 2, 0, 0, 7, 1, 1, 4, 2, 11, 5, 1, 5, 2, 1, 27, 1, 4, 0, 1, 0, 1, 104, 1, 3, 7, 2, 4, 0, 2, 4, 2, 2, 0, 1, 1, 3, 0, 7, 1, 2, 3, 3, 2, 0, 1, 0, 1, 4, 2, 3, 0, 3, 15, 1, 0, 0, -0.04409068607028485, 125.63080072402954, 28]
[7, 2, 2, 1, 3, 32, 1, 5, 0, 0, 1, 2, 1, 0, 1, 12, 0, 4, 0, 0, 0, 3, 9, 2, 4, 1, 8, 20, 5, 1, 1, 0, 1, 0, 6, 0, 1, 1, 0, 1, 18, 5, 1, 0, 0, 7, 0, 1, 64, 0, 5, 0, 0, 3, 0, 66, 5, 5, 5, 1, 6, 3, 0, 4, 2, 3, 3, 1, 0, 0, 3, 5, 0, 2, 19, 6, 2, 1, 2, 3, 0, 0, 4, 2, 0, 10, 1, 1, 0, 2, -0.04123027894907059, 577.6870036125183, 132]
[4, 0, 4, 2, 0, 79, 1, 2, 0, 0, 3, 6, 0, 2, 4, 10, 0, 16, 2, 3, 1, 26, 33, 1, 0, 4, 4, 3, 3, 1, 0, 0, 1, 1, 5, 0, 0, 10, 1, 1, 23, 0, 5, 9, 0, 7, 1, 5, 81, 1, 6, 0, 0, 5, 0, 13, 3, 3, 0, 1, 6, 3, 1, 1, 0, 3, 3, 0, 1, 3, 0, 4, 2, 4, 3, 6, 2, 0, 5, 0, 1, 2, 6, 0, 0, 10, 6, 0, 1, 2, 0.0034922038415505043, 698.6590042114258, 160]
[0, 0, 4, 2, 0, 24, 0, 4, 3, 4, 7, 6, 0, 1, 4, 22, 1, 4, 1, 5, 2, 26, 35, 0, 4, 3, 2, 5, 2, 1, 1, 1, 0, 1, 0, 0, 0, 7, 1, 1, 20, 4, 7, 5, 1, 5, 0, 4, 39, 1, 1, 0, 0, 2, 1, 75, 5, 6, 7, 0, 0, 0, 1, 3, 2, 3, 3, 1, 0, 1, 1, 4, 0, 4, 6, 0, 1, 1, 5, 3, 1, 4, 1, 1, 1, 1, 0, 1, 1, 4, 0.005934917989040112, 6402.882836818695, 1450]
[7, 2, 3, 0, 5, 19, 0, 11, 2, 1, 4, 6, 1, 0, 2, 32, 2, 17, 0, 0, 0, 26, 17, 3, 4, 2, 8, 4, 2, 1, 1, 0, 0, 1, 1, 1, 0, 5, 0, 1, 7, 2, 5, 3, 1, 6, 2, 4, 52, 4, 1, 0, 1, 3, 1, 5, 5, 8, 6, 2, 4, 4, 3, 2, 1, 1, 3, 0, 0, 4, 3, 4, 2, 4, 12, 3, 1, 1, 1, 4, 0, 0, 3, 2, 1, 9, 0, 2, 0, 0, 0.012036937156285935, 79980.34156441689, 18058]
[11, 2, 3, 2, 3, 86, 0, 3, 1, 4, 1, 6, 1, 0, 0, 20, 2, 10, 2, 3, 0, 22, 26, 3, 0, 3, 0, 17, 0, 1, 1, 0, 0, 0, 4, 1, 1, 6, 1, 1, 23, 2, 8, 2, 0, 10, 1, 2, 39, 6, 0, 2, 1, 7, 0, 81, 1, 2, 5, 2, 1, 3, 3, 2, 3, 3, 3, 0, 1, 3, 0, 4, 2, 4, 25, 3, 2, 2, 0, 3, 0, 4, 2, 4, 1, 4, 13, 1, 1, 1, 0.01615045429332921, 175139.65035653114, 37886]
