[1, 0, 3, 3, 6, 4, 0, 1, 2, 1, 1, 1, 1, 4, 0, 2, 1, 2, 4, 7, 2, 0, 28, 8, 7, 17, 3, 1, 1, 4, -0.06081910977662988, 0.4679999351501465, 2]
[0, 7, 1, 3, 6, 0, 2, 1, 1, 1, 1, 4, 1, 1, 4, 4, 3, 0, 0, 3, 2, 7, 58, 8, 7, 1, 1, 1, 2, 0, -0.027441421437980968, 1.201200008392334, 7]
[1, 0, 6, 3, 4, 5, 1, 2, 0, 1, 0, 2, 3, 1, 4, 3, 1, 1, 1, 4, 2, 2, 62, 0, 5, 5, 2, 1, 0, 0, 0.0016587179451868217, 2.189000129699707, 14]
[1, 8, 4, 0, 1, 6, 2, 0, 1, 0, 1, 2, 1, 1, 5, 6, 2, 2, 2, 3, 2, 8, 25, 9, 2, 16, 4, 0, 2, 4, 0.025478441862351337, 12.681400060653687, 88]
[0, 11, 5, 2, 3, 12, 2, 1, 2, 0, 1, 2, 6, 2, 5, 6, 2, 3, 2, 6, 1, 1, 7, 0, 3, 12, 0, 0, 0, 4, 0.05642624984717565, 101.56880068778992, 707]
[1, 10, 8, 2, 1, 8, 1, 0, 1, 1, 1, 2, 0, 0, 5, 2, 2, 2, 2, 0, 2, 6, 18, 6, 6, 4, 2, 0, 1, 8, 0.05803623235295596, 112.22600078582764, 780]
[1, 13, 10, 4, 6, 4, 2, 0, 1, 1, 1, 2, 1, 1, 2, 5, 2, 2, 2, 7, 1, 10, 15, 9, 5, 3, 0, 1, 1, 7, 0.08234374208370213, 118.72860074043274, 824]
[0, 12, 10, 2, 1, 2, 2, 0, 1, 0, 0, 2, 1, 3, 1, 5, 3, 2, 2, 1, 2, 6, 85, 0, 1, 16, 1, 0, 1, 5, 0.08453722820748058, 206.97540140151978, 1363]
[1, 15, 7, 1, 3, 10, 2, 0, 1, 1, 1, 2, 4, 2, 2, 1, 3, 3, 2, 6, 2, 1, 89, 9, 0, 2, 0, 0, 1, 7, 0.08647303471199844, 2359.67041516304, 15372]
[0, 3, 5, 3, 2, 9, 0, 1, 2, 1, 1, 2, 1, 1, 3, 2, 2, 0, 2, 1, 3, 10, 48, 9, 1, 11, 0, 0, 1, 4, 0.10732488451189612, 3406.0312218666077, 21995]
[1, 14, 2, 2, 0, 9, 1, 0, 1, 1, 1, 2, 3, 0, 4, 1, 3, 0, 2, 1, 0, 0, 73, 9, 6, 18, 4, 1, 2, 8, 0.12840800600289626, 11366.390870571136, 73298]
