[0, 105, 1, 4, 2, 0, 1, 5, 6, 10, 0.07011829921024551, 0.09359979629516602, 1]
[0, 97, 6, 4, 0, 2, 1, 9, 17, 10, 0.08201199095800878, 0.18719983100891113, 3]
[2, 63, 0, 7, 0, 1, 3, 10, 17, 10, 0.12409536710765565, 0.23399996757507324, 4]
[3, 3, 0, 4, 1, 1, 3, 3, 17, 14, 0.13199096068674904, 0.4835999011993408, 10]
[2, 93, 5, 3, 3, 2, 0, 0, 17, 14, 0.13330339564116278, 1.0139999389648438, 22]
[2, 93, 1, 3, 1, 1, 1, 10, 17, 10, 0.1630293093112867, 3.793599843978882, 87]
[2, 93, 1, 3, 1, 2, 1, 10, 17, 10, 0.16714613685368643, 11.702800035476685, 266]
[3, 71, 4, 4, 2, 0, 1, 3, 9, 6, 0.1733105627471512, 15.961600065231323, 360]
[2, 93, 5, 4, 1, 0, 1, 10, 17, 6, 0.1738207862818898, 17.365599870681763, 391]
[2, 13, 4, 5, 2, 1, 0, 3, 17, 0, 0.19155628601772245, 20.06439995765686, 451]
[2, 93, 4, 8, 3, 1, 1, 3, 1, 0, 0.19766838682024007, 32.96760010719299, 738]
[1, 93, 4, 7, 0, 0, 0, 8, 9, 3, 0.20144218106368839, 59.80180025100708, 1331]
[2, 12, 4, 7, 0, 0, 1, 0, 1, 2, 0.20762080714099312, 64.32580018043518, 1431]
[2, 12, 4, 6, 1, 1, 0, 14, 6, 2, 0.22168096742960086, 74.90260028839111, 1668]
[2, 68, 4, 6, 1, 2, 1, 5, 18, 0, 0.24644450787293792, 227.5402011871338, 4789]
[2, 22, 4, 8, 1, 0, 0, 5, 9, 2, 0.2819520554164704, 513.6640031337738, 10320]
[2, 108, 4, 4, 1, 1, 0, 3, 9, 9, 0.2880445325835703, 3512.8524193763733, 70215]
