0,1,0,1,1,3,6,0,5,4,1,1,38,3,2,2,2,13,0,1,2,0,1,8,1,3,0,0,17,3,2,0,8,26,1,1,1,2,1,9,9,3,1,1,20,17,8,4,2,2,5,4,2,1,3,0,1,13,7,2,1,4,0,2,13,0,5,4,5,25,1,5,1,1,0,3,4,10,1,1,12,2,0,4,0,10,2,1,0,12,1,1,10,6,6,4,0,1,18,3,-0.16498841347515858
1,0,2,0,1,5,10,1,1,3,0,0,26,4,1,1,1,4,0,13,0,3,0,7,0,0,0,2,13,0,3,0,17,3,1,1,0,7,0,4,1,8,1,1,26,3,6,0,0,1,1,4,4,3,2,0,1,6,0,1,2,0,2,2,19,0,4,4,6,21,2,3,2,0,16,2,1,10,2,5,11,0,0,4,2,8,0,1,0,20,1,0,2,4,1,4,1,1,12,3,-0.1321293547892509
1,0,0,0,1,9,10,0,10,5,0,1,37,3,0,2,1,12,1,9,4,6,1,8,0,3,1,3,5,3,0,2,16,25,3,0,0,8,0,2,12,6,0,2,22,4,1,0,0,2,3,5,2,3,1,1,0,6,2,0,0,1,2,0,15,1,5,1,7,14,0,4,0,0,4,6,4,7,1,4,14,0,1,2,0,7,2,1,1,14,0,1,2,12,6,3,1,1,12,2,-0.07061720681763994
0,0,2,1,1,4,1,0,5,5,1,1,35,4,2,0,2,15,1,15,2,4,1,4,1,2,1,1,19,6,3,0,4,24,0,0,0,2,1,5,12,1,1,0,21,6,8,1,1,1,6,1,4,3,2,0,1,12,7,2,0,3,3,2,17,0,1,0,3,26,1,5,0,1,2,4,2,12,0,4,10,0,0,3,1,0,1,1,2,20,1,0,8,9,7,4,0,1,2,3,-0.026648450071259988
2,0,2,1,1,0,9,2,11,5,0,0,14,3,1,1,2,13,0,14,4,7,1,8,1,1,0,0,20,5,3,1,14,8,0,1,0,8,0,6,12,4,2,0,13,19,5,0,1,1,3,0,4,1,1,0,1,12,0,0,1,4,2,1,0,1,6,1,4,19,1,5,0,0,1,3,1,13,1,2,29,1,0,3,1,6,2,0,3,4,0,1,2,16,4,4,0,0,6,1,-0.06901897958118158
0,1,1,1,1,1,8,2,9,2,1,1,37,4,2,1,2,26,0,12,0,2,0,4,1,1,1,0,2,6,0,1,1,22,3,0,0,0,0,8,12,4,0,0,2,4,7,3,1,2,2,1,2,0,0,1,0,0,4,1,0,4,0,0,13,1,1,2,8,12,0,2,2,1,3,9,4,7,3,0,2,1,1,1,0,10,2,0,1,5,0,1,0,10,0,3,1,0,16,2,-0.02746519407895894
0,0,1,1,0,9,14,2,0,2,0,1,43,0,0,2,1,25,0,3,2,7,0,5,0,3,0,0,20,7,3,0,7,11,1,0,0,0,0,9,9,7,2,0,21,19,2,2,2,1,5,5,2,3,2,0,1,14,1,1,1,3,2,1,15,1,2,0,7,11,2,2,1,0,9,0,0,2,0,0,23,0,2,0,0,10,2,1,2,13,1,0,9,15,4,1,0,0,14,1,-0.11750059387397689
0,0,2,1,1,7,3,1,9,7,1,1,22,0,1,0,1,14,0,3,1,1,1,6,0,1,1,3,9,1,1,1,12,35,1,1,1,2,1,8,12,0,1,2,26,7,2,1,2,0,2,3,1,0,4,1,1,5,4,0,0,0,0,2,3,1,1,1,5,11,1,2,0,0,13,0,2,5,3,7,2,1,1,3,3,11,1,0,2,6,0,0,4,8,2,4,1,0,2,2,-0.08685429300886101
1,1,0,1,0,0,1,0,5,4,0,1,11,1,1,0,2,0,1,1,3,2,0,4,0,2,1,1,21,3,1,2,8,15,1,1,0,2,1,8,3,4,2,2,4,5,5,3,0,0,2,5,3,1,1,1,1,7,6,1,1,0,0,2,15,0,3,2,3,6,0,2,2,1,14,10,2,0,0,6,15,1,0,0,2,3,4,0,3,1,1,1,12,7,3,4,0,0,8,0,-0.13455093974564175
0,1,2,1,1,4,6,1,5,7,1,1,47,3,1,1,1,3,1,4,4,4,0,8,1,2,0,1,8,6,2,0,16,25,2,1,0,8,1,9,2,8,0,1,4,1,0,4,1,2,5,6,3,2,2,0,1,4,4,1,0,1,3,2,9,1,5,0,6,21,0,1,0,0,15,0,4,5,3,0,25,2,2,0,2,4,4,1,1,0,0,1,1,13,4,0,1,2,18,1,-0.035679991043432724
2,1,2,0,0,6,16,2,10,4,0,1,30,4,1,0,2,5,0,7,0,5,1,5,0,3,0,2,2,0,3,1,7,30,1,0,0,6,0,9,8,0,1,1,4,1,5,2,2,0,1,2,3,0,1,1,1,9,3,2,1,0,0,0,5,0,5,2,4,15,2,5,0,0,0,9,2,0,2,6,21,2,1,4,0,2,4,0,3,17,0,0,3,11,7,0,1,1,17,1,-0.15548237758557734
2,1,1,0,1,6,10,1,6,0,1,0,7,4,1,1,1,18,0,11,2,5,1,0,1,0,1,1,2,6,3,1,7,11,1,0,0,6,0,7,13,7,0,0,1,7,5,3,1,2,0,0,0,3,3,1,0,3,1,0,2,3,3,2,20,0,5,3,7,7,2,2,1,0,0,4,4,4,0,2,14,2,2,6,0,6,3,1,3,1,1,0,4,2,4,0,1,2,12,2,0.017146781108840582
2,0,1,0,0,7,13,0,11,3,1,1,12,4,0,0,1,18,0,1,2,4,1,2,0,0,0,0,21,7,1,0,8,24,2,0,0,3,1,6,1,1,0,2,23,9,6,1,0,2,2,0,2,1,2,1,0,3,1,0,2,3,2,1,1,0,4,4,5,4,1,4,0,0,7,5,0,7,4,2,16,0,2,4,1,7,4,0,0,3,0,1,12,4,5,1,1,1,11,1,-0.1428990682839676
2,0,0,0,1,2,8,0,10,5,0,1,54,3,1,2,0,21,1,8,1,1,0,6,1,0,0,1,20,7,3,2,9,33,1,1,0,0,1,7,12,1,2,2,19,9,5,2,0,1,0,0,1,2,1,0,0,6,0,2,0,4,2,2,2,0,0,4,0,17,1,0,1,1,14,7,2,9,0,0,2,1,0,5,2,1,2,0,3,12,0,0,6,10,6,4,0,0,13,0,-0.02704117080706588
2,0,2,1,1,2,2,2,3,1,1,0,45,4,0,2,1,24,0,6,4,4,0,5,0,2,1,1,4,6,1,1,10,24,0,1,1,6,0,0,11,4,2,0,12,16,1,1,0,1,2,5,3,2,3,0,1,6,0,0,2,1,0,1,14,1,1,1,1,13,0,1,2,0,7,4,4,12,1,5,0,2,0,5,2,7,1,0,1,15,0,0,7,7,1,1,1,1,9,3,-0.1297025040631251
0,0,0,1,0,2,8,2,4,5,0,0,28,1,1,1,0,14,1,14,1,7,1,1,1,0,0,2,3,1,1,1,5,14,3,0,1,7,1,4,14,3,0,0,18,3,6,2,0,0,5,2,2,3,4,1,1,5,7,2,0,1,1,1,5,1,6,2,5,3,0,5,1,1,13,6,4,9,1,0,22,1,2,1,1,9,1,0,3,10,1,1,1,8,4,2,1,1,17,1,-0.011684252142154645
1,1,0,1,0,7,5,0,4,1,0,0,46,1,0,2,2,15,1,2,4,1,1,6,1,3,0,0,19,7,3,0,4,22,3,0,1,7,0,5,10,2,1,1,12,17,8,3,2,1,4,1,1,3,4,1,0,10,7,1,2,3,3,1,2,0,4,2,2,13,0,6,2,0,11,6,3,4,4,4,19,2,1,3,1,10,2,0,3,12,1,1,1,1,3,1,0,2,10,2,-0.09843117875047103
0,0,1,1,0,7,0,1,1,7,1,1,45,4,0,1,1,4,0,11,0,4,1,7,1,0,0,3,3,1,3,1,17,1,1,0,0,7,1,3,4,6,1,2,15,1,0,2,2,0,6,0,3,0,0,1,1,0,4,0,0,2,4,1,6,0,1,3,4,21,2,3,2,0,10,5,1,14,2,7,27,0,1,5,2,9,3,0,0,6,0,0,0,13,0,3,0,1,0,3,-0.06608017760118348
